City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
15,Hithadhoo,MV,83.44,broken clouds,-0.6,73.08,Scoop Guest House
18,Bathsheba,BB,80.6,scattered clouds,13.22,-59.52,Atlantis Hotel
20,The Valley,AI,82.4,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
30,Srikakulam,IN,84.85,overcast clouds,18.3,83.9,Sriram residency
31,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,Casa Tia Villa
34,Upington,ZA,77.0,broken clouds,-28.45,21.26,River Place Manor
38,Georgetown,MY,86.0,scattered clouds,5.41,100.34,Cititel Penang
39,Garissa,KE,76.86,broken clouds,-0.45,39.64,Sharif Plaza Hotel
51,Xapuri,BR,76.17,light rain,-10.65,-68.5,Restaurante Viana
61,Cockburn Town,TC,81.99,clear sky,21.46,-71.14,Osprey Beach Hotel
63,Sokoni,TZ,75.2,scattered clouds,-6.43,39.55,Ujamaa Beach Resort
65,Harper,LR,77.81,overcast clouds,4.38,-7.72,Screensaver
67,Sinnamary,GF,81.61,scattered clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
77,Victoria,HK,75.99,overcast clouds,22.29,114.16,Mini Hotel Central
78,Mahibadhoo,MV,81.73,light rain,3.78,72.97,Omadhoo Inn
79,Tutoia,BR,80.65,scattered clouds,-2.76,-42.27,Pousada Guará's
83,Mumford,GH,77.13,overcast clouds,5.26,-0.76,Spanish Villa
85,Jibuti,DJ,80.6,haze,11.5,42.5,Orchid Main Camp Goubet
86,Atar,MR,81.95,clear sky,20.52,-13.05,Oumou Elghoura
87,Nisia Floresta,BR,75.2,scattered clouds,-6.09,-35.21,Rancho Crepusculo
89,Nizamabad,IN,78.53,scattered clouds,18.67,78.12,SPOT ON 40233 Sri Vaishnavi Lodge SPOT
90,Niquelandia,BR,75.33,moderate rain,-14.47,-48.46,Hotel Suinã
91,Buchanan,LR,76.87,moderate rain,5.88,-10.05,Kamaneahn Hotel Inc
