,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vardo,NO,70.37,31.11,35.6,95,75,26.4,broken clouds
1,Cape Town,ZA,-33.93,18.42,62.01,93,75,6.93,broken clouds
2,Ponta Do Sol,PT,32.67,-17.1,64.4,68,40,13.87,scattered clouds
3,Mabaruma,GY,8.2,-59.78,78.87,82,58,6.13,broken clouds
4,Hermanus,ZA,-34.42,19.23,63.0,85,63,2.44,broken clouds
5,Grindavik,IS,63.84,-22.43,41.0,80,90,26.4,moderate rain
6,Tasiilaq,GL,65.61,-37.64,37.4,47,100,27.51,overcast clouds
7,Busselton,AU,-33.65,115.33,73.0,34,0,3.76,clear sky
8,Turochak,RU,52.26,87.12,38.86,87,100,4.9,overcast clouds
9,Malanje,AO,-9.54,16.34,64.31,97,93,3.98,overcast clouds
10,Punta Arenas,CL,-53.15,-70.92,42.8,75,0,3.36,clear sky
11,Port Alfred,ZA,-33.59,26.89,67.96,90,92,11.27,overcast clouds
12,Yar-Sale,RU,66.83,70.83,15.73,96,87,9.48,overcast clouds
13,Jacksonville,US,30.33,-81.66,73.4,94,75,8.05,shower rain
14,Kananga,CD,-5.9,22.42,69.71,98,100,2.98,overcast clouds
15,Hithadhoo,MV,-0.6,73.08,83.44,76,83,14.88,broken clouds
16,Vilhena,BR,-12.74,-60.15,72.34,82,54,1.19,broken clouds
17,Stubbekobing,DK,54.89,12.04,53.01,90,14,20.49,few clouds
18,Bathsheba,BB,13.22,-59.52,80.6,83,40,23.04,scattered clouds
19,Cidreira,BR,-30.18,-50.21,67.01,86,99,24.49,overcast clouds
20,The Valley,AI,18.22,-63.06,82.4,78,20,6.93,few clouds
21,Jamestown,US,42.1,-79.24,60.8,93,1,4.7,clear sky
22,Narsaq,GL,60.92,-46.05,23.0,73,78,2.24,broken clouds
23,Zubtsov,RU,56.18,34.59,51.51,85,100,10.87,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,42.8,75,40,20.8,scattered clouds
25,Gelemso,ET,8.82,40.52,61.39,50,100,1.16,overcast clouds
26,Qaanaaq,GL,77.48,-69.36,20.34,93,100,10.42,overcast clouds
