City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,General Roca,AR,2020-10-22 02:03:56,-39.03,-67.58,59.0,47,0,14.99
1,Maridi,SS,2020-10-22 02:03:56,4.92,29.47,66.51,95,0,2.42
2,Grand Gaube,MU,2020-10-22 01:59:24,-20.01,57.66,71.01,84,51,1.01
3,Rafai,CF,2020-10-22 02:03:57,4.95,23.92,68.49,97,100,1.61
4,Mitu,CO,2020-10-22 02:03:57,1.2,-70.17,73.81,95,100,1.9
5,Bambous Virieux,MU,2020-10-22 01:58:28,-20.34,57.76,73.4,78,40,10.29
6,Coihaique,CL,2020-10-22 01:58:14,-45.58,-72.07,50.0,46,0,4.7
7,Kostrzyn,PL,2020-10-22 02:03:58,52.4,17.23,52.0,81,0,6.93
8,Ribas Do Rio Pardo,BR,2020-10-22 02:03:58,-20.44,-53.76,78.62,61,81,3.6
9,Ushuaia,AR,2020-10-22 01:56:50,-54.8,-68.3,50.0,53,75,10.29
10,Saldanha,ZA,2020-10-22 01:57:58,-33.01,17.94,51.8,81,0,5.82
11,Berger,NO,2020-10-22 02:03:58,59.55,10.37,50.0,93,100,5.82
12,Husavik,IS,2020-10-22 01:59:03,66.04,-17.34,28.4,86,61,2.24
13,Awash,ET,2020-10-22 02:03:59,8.98,40.17,67.19,37,37,2.95
14,Ponta Do Sol,PT,2020-10-22 01:58:14,32.67,-17.1,64.4,59,20,13.87
15,Georgetown,MY,2020-10-22 01:58:21,5.41,100.34,80.6,74,40,2.24
16,Avsyunino,RU,2020-10-22 02:04:00,55.57,39.12,35.6,100,90,4.47
17,Galle,LK,2020-10-22 02:04:00,6.04,80.22,80.73,83,6,12.82
18,Chuy,UY,2020-10-22 02:04:00,-33.7,-53.46,58.14,76,96,13.69
19,Makurdi,NG,2020-10-22 02:04:00,7.74,8.51,75.31,89,100,2.73
20,Gat,IL,2020-10-22 01:58:11,31.61,34.76,70.0,77,0,3.36
21,Codrington,AU,2020-10-22 01:58:21,-38.27,141.97,61.21,68,65,6.76
22,Cape Town,ZA,2020-10-22 01:57:02,-33.93,18.42,59.0,87,0,14.99
23,Koslan,RU,2020-10-22 02:04:01,63.46,48.9,21.34,97,12,5.41
24,Tahta,EG,2020-10-22 02:04:02,26.77,31.5,74.01,40,0,7.61
25,Najran,SA,2020-10-22 01:56:14,17.49,44.13,62.6,21,100,4.7
26,Colesberg,ZA,2020-10-22 02:04:02,-30.72,25.1,59.27,75,2,12.82
27,Totness,SR,2020-10-22 01:58:22,5.88,-56.32,81.28,80,6,12.15
28,Caravelas,BR,2020-10-22 02:03:55,-17.71,-39.25,74.43,86,98,4.41
29,Punta Arenas,CL,2020-10-22 01:58:29,-53.15,-70.92,48.2,61,75,6.93
30,Sitio Novo Do Tocantins,BR,2020-10-22 02:04:03,-5.52,-47.46,83.82,51,19,4.36
31,Srivardhan,IN,2020-10-22 02:04:03,18.03,73.02,78.89,85,0,4.63
32,Prosperous,IE,2020-10-22 02:04:04,53.29,-6.75,46.0,87,75,17.22
33,Otterup,DK,2020-10-22 02:04:04,55.52,10.4,57.2,93,100,25.28
34,Palanpur,IN,2020-10-22 02:04:04,24.17,72.43,77.68,62,2,5.03
35,Saint George,US,2020-10-22 01:57:43,37.1,-113.58,78.8,10,1,1.16
36,Longyearbyen,SJ,2020-10-22 01:57:49,78.22,15.64,21.2,79,75,5.82
37,Hithadhoo,MV,2020-10-22 01:58:20,-0.6,73.08,82.6,74,12,12.88
38,Bengkulu,ID,2020-10-22 01:58:29,-3.8,102.27,78.89,80,100,4.34
39,Kavaratti,IN,2020-10-22 01:59:06,10.57,72.64,81.1,77,100,15.08
40,Souillac,MU,2020-10-22 01:57:56,-20.52,57.52,73.4,78,40,10.29
41,Upernavik,GL,2020-10-22 01:58:32,72.79,-56.15,23.61,95,66,3.58
42,Bilma,NE,2020-10-22 01:58:16,18.69,12.92,79.09,17,10,12.59
43,Lebu,CL,2020-10-22 01:57:15,-37.62,-73.65,47.3,82,0,15.12
44,Tasiilaq,GL,2020-10-22 02:04:06,65.61,-37.64,30.2,80,100,4.7
45,Jamestown,US,2020-10-22 01:58:16,42.1,-79.24,54.0,93,75,5.82
46,Conde,BR,2020-10-22 02:04:07,-7.26,-34.91,77.0,94,75,5.82
47,Arraial Do Cabo,BR,2020-10-22 01:58:26,-22.97,-42.03,72.75,88,31,13.15
48,Mopipi,BW,2020-10-22 02:04:07,-21.18,24.88,70.47,57,0,19.22
49,Liverpool,GB,2020-10-22 02:00:30,53.41,-2.98,51.8,76,40,13.87
50,Umm Lajj,SA,2020-10-22 01:59:47,25.02,37.27,86.22,21,0,15.93
51,East London,ZA,2020-10-22 01:57:17,-33.02,27.91,62.74,81,0,11.16
52,Lagoa,PT,2020-10-22 01:57:25,39.05,-27.98,62.38,68,78,17.54
53,Murgab,TM,2020-10-22 01:59:57,37.5,61.97,51.8,57,75,9.17
54,Fakel,RU,2020-10-22 02:04:08,57.63,53.03,28.38,95,100,10.07
55,Talnakh,RU,2020-10-22 01:58:18,69.49,88.4,12.2,92,40,13.42
56,Soyo,AO,2020-10-22 02:04:09,-6.13,12.37,77.09,83,100,8.3
57,Santa Isabel Do Rio Negro,BR,2020-10-22 02:04:09,-0.41,-65.02,74.52,96,17,1.16
58,Brigantine,US,2020-10-22 02:03:29,39.41,-74.36,66.2,88,1,4.7
59,Quatre Cocos,MU,2020-10-22 01:59:58,-20.21,57.76,73.4,78,40,10.29
60,Ugoofaaru,MV,2020-10-22 01:59:23,5.67,73.0,81.84,77,86,10.98
61,Chapais,CA,2020-10-22 01:58:44,49.78,-74.85,32.0,98,90,6.93
62,Yenagoa,NG,2020-10-22 02:04:10,4.92,6.26,75.45,95,17,3.33
